id,state_name,state_id,country_id,general_info
1,Abia,1,1,"{""stateDescription"": ""Located in southeastern Nigeria, Abia is known for its trade and commerce, particularly the Ariaria International Market."", ""localGovernmentsCount"": 17, ""ethnicGroupsCount"": 3, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 0}"
2,Adamawa,2,1,"{""stateDescription"": ""A northeastern state bordering Cameroon, Adamawa is home to over 50 ethnic groups and the scenic Mandara Mountains."", ""localGovernmentsCount"": 21, ""ethnicGroupsCount"": 50, ""endangeredGroupsCount"": 2, ""endangeredLanguagesCount"": 5}"
3,Akwa Ibom,3,1,"{""stateDescription"": ""Nigeria's top oil-producing state, located in the South-South region with a rich Ibibio and Annang cultural heritage."", ""localGovernmentsCount"": 31, ""ethnicGroupsCount"": 5, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 1}"
4,Anambra,4,1,"{""stateDescription"": ""A densely populated Igbo state in southeastern Nigeria, home to Onitsha — one of the largest markets in West Africa."", ""localGovernmentsCount"": 21, ""ethnicGroupsCount"": 4, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 0}"
5,Bauchi,5,1,"{""stateDescription"": ""A northeastern state known for the Yankari National Park, one of Nigeria's most significant wildlife reserves."", ""localGovernmentsCount"": 20, ""ethnicGroupsCount"": 55, ""endangeredGroupsCount"": 3, ""endangeredLanguagesCount"": 8}"
6,Bayelsa,6,1,"{""stateDescription"": ""Located in the Niger Delta, Bayelsa is predominantly Ijaw and is one of Nigeria's most oil-rich states."", ""localGovernmentsCount"": 8, ""ethnicGroupsCount"": 2, ""endangeredGroupsCount"": 0, ""endangeredLanguagesCount"": 0}"
7,Benue,7,1,"{""stateDescription"": ""Known as the 'Food Basket of the Nation', Benue is home to the Tiv, Idoma, and Fulani communities."", ""localGovernmentsCount"": 23, ""ethnicGroupsCount"": 14, ""endangeredGroupsCount"": 1, ""endangeredLanguagesCount"": 2}"
8,Borno,8,1,"{""stateDescription"": ""The largest Nigerian state by area, historically the seat of the Kanem-Bornu Empire, with the Kanuri as the dominant group."", ""localGovernmentsCount"": 27, ""ethnicGroupsCount"": 30, ""endangeredGroupsCount"": 4, ""endangeredLanguagesCount"": 10}"
9,Cross River,9,1,"{""stateDescription"": ""A southeastern state rich in biodiversity, hosting the Cross River National Park and diverse Efik and Ejagham communities."", ""localGovernmentsCount"": 18, ""ethnicGroupsCount"": 40, ""endangeredGroupsCount"": 3, ""endangeredLanguagesCount"": 7}"
10,Delta,10,1,"{""stateDescription"": ""Located in the Niger Delta oil region, Delta State has significant Urhobo, Ijaw, and Itsekiri populations."", ""localGovernmentsCount"": 25, ""ethnicGroupsCount"": 25, ""endangeredGroupsCount"": 1, ""endangeredLanguagesCount"": 3}"
